Date,Intensity Minutes,Steps,BPM,Calories,Stress Level,Sleep Hrs
2021-06-14,161,21590,47,3267,30,8.2
2021-06-15,134,14759,48,3408,29,8.3
2021-06-16,52,10272,47,2826,28,7.6
2021-06-17,37,11713,46,2733,26,7.5
2021-06-18,288,8882,45,3803,30,7.8
2021-06-19,196,18969,45,3850,23,8.1
2021-06-20,194,13387,45,4129,23,8.2
2021-06-21,201,11770,43,3677,25,7.2
2021-06-23,151,11702,45,3259,28,8.0
2021-06-24,143,3644,42,3249,24,8.2
2021-06-25,211,11628,42,3872,20,8.9
2021-06-26,152,24183,41,3556,25,7.5
2021-06-27,270,5124,44,4748,27,6.4
2021-06-28,207,13127,43,3656,27,8.6
2021-06-29,96,7449,43,3453,21,8.4
2021-06-30,0,12284,42,2737,26,7.5
2021-07-01,152,11074,42,3648,28,7.5
2021-07-02,273,25828,42,3989,25,7.2
2021-07-03,165,12706,40,3867,21,7.4
2021-07-04,292,14268,43,3594,23,7.7
2021-07-05,87,3638,43,3140,16,7.6
2021-07-06,154,12304,36,3297,19,9.0
2021-07-07,0,18606,41,2805,22,8.6
2021-07-08,131,2812,40,3711,21,8.0
2021-07-09,200,8887,39,3645,19,8.9
2021-07-10,122,14955,41,3265,24,7.9
2021-07-11,286,14037,44,5185,31,6.0
2021-07-12,0,11757,41,2667,28,7.7
2021-07-13,142,8876,45,3917,34,7.5
2021-07-14,68,15696,41,2876,19,8.1
2021-07-15,124,13956,42,3344,18,8.3
2021-07-16,107,7160,40,4103,29,8.5
2021-07-17,258,23936,42,4331,25,8.1
2021-07-18,224,11894,42,4926,27,8.0
2021-07-19,116,9738,41,3511,22,6.9
2021-07-20,238,19078,41,4818,26,7.5
2021-07-21,111,6435,41,3570,18,8.7
2021-07-22,265,19027,42,4299,24,7.8
2021-07-23,14,11322,37,2894,18,8.2
2021-07-24,372,20015,37,5734,26,7.8
2021-07-26,136,3679,41,3361,20,8.3
2021-07-27,30,7920,41,3695,25,7.7
2021-07-28,170,17636,42,3582,27,7.8
2021-07-29,140,4936,42,3534,26,8.5
2021-07-30,107,22009,39,3508,31,7.6
2021-07-31,253,7082,40,3745,24,5.5
2021-08-01,243,12191,42,4106,21,8.4
2021-08-02,154,12291,41,3778,23,7.3
2021-08-03,190,15605,42,4052,25,7.5
2021-08-04,148,18481,40,3446,23,7.7
2021-08-05,0,4276,38,2943,17,8.5
2021-08-06,57,10313,40,3528,25,7.1
2021-08-07,272,26194,41,4269,28,8.4
2021-08-08,119,15169,38,3391,18,7.2
2021-08-09,36,30526,41,3061,15,6.5
2021-08-10,218,17942,40,4317,20,9.5
2021-08-11,245,11733,36,3721,23,8.1
2021-08-12,34,9481,39,2833,20,7.1
2021-08-13,176,12976,40,3925,26,8.0
2021-08-14,355,9575,41,4679,37,7.0
2021-08-15,25,15401,42,2934,23,7.6
2021-08-16,271,24878,41,3941,29,8.7
2021-08-17,164,19852,39,4417,23,9.0
2021-08-18,296,12357,40,4327,31,7.1
2021-08-19,153,14344,42,3912,25,7.3
2021-08-20,242,25691,44,4061,30,8.0
2021-08-21,284,14982,43,4931,29,6.5
2021-08-22,137,15980,42,3550,25,8.3
2021-08-23,376,16614,43,5065,33,8.6
2021-08-24,172,15892,42,3863,22,7.6
2021-08-25,342,9250,43,4836,34,6.7
2021-08-26,30,22569,44,3269,23,7.9
2021-08-27,303,5969,44,4924,27,8.1
2021-08-28,395,29112,45,4501,34,8.4
2021-08-29,290,10028,44,4453,23,7.6
2021-08-30,102,4195,43,3150,24,7.6
2021-08-31,209,3841,41,4288,30,7.0
2021-09-01,251,19385,42,4585,34,3.2
2021-09-02,142,10469,43,3669,26,7.0
2021-09-03,193,10795,44,4110,28,3.9
2021-09-04,138,20003,44,3032,28,6.8
2021-09-05,229,2372,43,4155,22,7.2
2021-09-06,341,16204,44,4794,28,7.5
2021-09-07,228,11547,44,4141,27,6.0
2021-09-08,138,8359,46,3577,30,7.7
2021-09-09,200,9974,46,3959,23,7.1
2021-09-10,46,14490,43,3170,20,6.1
2021-09-11,48,18426,45,2998,26,7.5
2021-09-12,588,3625,43,5934,31,6.7
2021-09-13,170,15184,51,3461,35,5.8
2021-09-14,162,4642,47,3355,27,7.8
2021-09-15,0,7976,48,2592,30,7.8
2021-09-16,0,18530,49,2723,34,5.4
2021-09-17,174,4823,49,3606,37,8.9
2021-09-18,225,18754,50,4051,38,8.0
2021-09-19,217,7347,49,3771,28,7.4
2021-09-20,0,19714,47,2737,27,7.7
2021-09-21,249,11483,52,3923,30,7.6
2021-09-22,200,19073,51,3880,37,7.5
2021-09-23,209,10199,53,3793,26,8.1
2021-09-24,108,9656,50,3093,22,7.8
2021-09-25,311,12358,52,4574,34,7.7
2021-09-26,81,13968,49,2811,29,8.3
2021-09-27,246,20953,50,4242,28,8.0
2021-09-28,185,21135,49,3979,27,7.5
2021-09-29,267,21876,49,4964,33,5.7
2021-09-30,301,4429,50,4044,19,7.8
2021-10-01,31,24453,47,2883,19,7.3
2021-10-03,219,16868,48,3955,25,7.1
2021-10-04,289,20757,46,4203,27,7.9
2021-10-05,172,27565,46,3851,27,8.1
2021-10-07,206,12135,45,4018,24,7.9
2021-10-08,18,23964,49,2728,34,5.1
2021-10-09,231,13499,52,4211,29,6.3
2021-10-11,242,13565,46,3753,33,8.5
2021-10-12,126,22189,51,3476,44,6.6
2021-10-13,237,22815,50,3767,39,8.1
2021-10-14,209,14054,49,4162,37,4.7
2021-10-15,136,43960,50,3804,29,8.9
2021-10-17,0,18567,49,2462,40,6.6
2021-10-18,116,19018,48,3195,29,6.7
2021-10-19,211,9400,53,3819,32,7.8
2021-10-20,57,18861,50,2929,26,6.7
2021-10-21,216,12270,52,3974,29,7.3
2021-10-22,285,3011,52,4092,32,8.3
2021-10-23,213,9371,53,3695,35,7.7
2021-10-24,107,21738,53,3428,24,9.2
2021-10-25,228,21808,48,4486,26,7.3
2021-10-26,151,2320,50,3606,24,8.4
2021-10-27,32,14557,45,2585,20,6.8
2021-10-28,65,19546,45,3413,25,7.7
2021-10-29,182,22289,48,3796,26,8.3
2021-10-30,226,2334,47,4217,29,6.5
2021-10-31,61,13143,48,3761,33,8.2
2021-11-02,17,9327,46,2766,36,7.1
2021-11-03,146,11367,53,3255,37,7.1
2021-11-04,43,8312,53,3208,30,7.9
2021-11-05,57,13770,49,3072,33,6.6
2021-11-06,296,15121,52,4652,34,8.2
2021-11-07,253,10816,52,4563,40,8.3
2021-11-08,60,21350,49,2981,24,7.9
2021-11-09,207,10440,49,4222,26,7.4
2021-11-10,175,9958,47,3319,23,7.2
2021-11-11,47,1500,47,2999,19,8.0
2021-11-12,0,1708,43,2345,21,9.3
2021-11-13,0,17707,46,2367,25,7.3
2021-11-14,174,15377,44,3780,34,6.5
2021-11-15,29,8290,52,2870,39,7.6
2021-11-16,226,4464,51,4253,34,7.9
2021-11-17,0,18255,45,2568,35,6.4
2021-11-18,196,10532,50,3991,28,7.6
2021-11-19,139,11221,47,3899,30,6.8
2021-11-20,150,10259,50,3289,27,7.2
2021-11-21,254,13104,48,4500,29,8.2
