Week,Intensity Minutes,Steps,BPM,Calories,Stress Level,Sleep Hrs
2021-06-13,1062,104222,46,23725,28,7.3
2021-06-20,1391,81915,43,25984,26,8.0
2021-06-27,1185,87592,42,26098,25,7.6
2021-07-04,980,75470,40,23457,20,8.2
2021-07-11,923,95418,42,26423,26,7.7
2021-07-18,1504,97509,40,29752,23,7.8
2021-07-25,1079,81498,40,26396,26,7.6
2021-08-01,940,99351,40,26122,23,7.8
2021-08-08,1089,107402,39,25927,22,7.6
2021-08-15,1547,127505,41,28523,27,7.7
2021-08-22,1908,115386,43,30008,28,7.9
2021-08-29,1264,78716,43,27287,27,6.2
2021-09-05,1589,81372,44,26794,25,7.0
2021-09-12,948,73534,48,25722,33,7.2
2021-09-19,1158,89830,50,25771,29,7.7
2021-09-26,1358,126591,48,26578,26,7.4
2021-10-03,1326,137383,47,27374,29,6.2
2021-10-10,1377,124727,49,28265,38,7.4
2021-10-17,1205,90498,51,24166,31,7.3
2021-10-24,945,104592,48,25531,24,7.7
2021-10-31,926,79212,49,23965,34,7.5
2021-11-07,663,73479,47,22796,25,7.9
2021-11-14,994,78398,48,24650,32,7.1
