Date,Actual,Goal
6/12/2021,230,150
6/13/2021,268,150
6/14/2021,161,150
6/15/2021,134,150
6/16/2021,52,150
6/17/2021,37,150
6/18/2021,288,150
6/19/2021,196,150
6/20/2021,194,150
6/21/2021,201,150
6/22/2021,263,150
6/23/2021,151,150
6/24/2021,143,150
6/25/2021,211,150
6/26/2021,152,150
6/27/2021,270,150
6/28/2021,207,150
6/29/2021,96,150
6/30/2021,0,150
7/1/2021,152,150
7/2/2021,273,150
7/3/2021,165,150
7/4/2021,292,150
7/5/2021,87,150
7/6/2021,154,150
7/7/2021,0,150
7/8/2021,131,150
7/9/2021,200,150
7/10/2021,122,150
7/11/2021,286,150
7/12/2021,0,150
7/13/2021,142,150
7/14/2021,68,150
7/15/2021,124,150
7/16/2021,107,150
7/17/2021,258,150
7/18/2021,224,150
7/19/2021,116,150
7/20/2021,238,150
7/21/2021,111,150
7/22/2021,265,150
7/23/2021,14,150
7/24/2021,372,150
7/25/2021,388,150
7/26/2021,136,150
7/27/2021,30,150
7/28/2021,170,150
7/29/2021,140,150
7/30/2021,107,150
7/31/2021,253,150
8/1/2021,243,150
8/2/2021,154,150
8/3/2021,190,150
8/4/2021,148,150
8/5/2021,0,150
8/6/2021,57,150
8/7/2021,272,150
8/8/2021,119,150
8/9/2021,36,150
8/10/2021,218,150
8/11/2021,245,150
8/12/2021,34,150
8/13/2021,176,150
8/14/2021,355,150
8/15/2021,25,150
8/16/2021,271,150
8/17/2021,164,150
8/18/2021,296,150
8/19/2021,153,150
8/20/2021,242,150
8/21/2021,284,150
8/22/2021,137,150
8/23/2021,376,150
8/24/2021,172,150
8/25/2021,342,150
8/26/2021,30,150
8/27/2021,303,150
8/28/2021,395,150
8/29/2021,290,150
8/30/2021,102,150
8/31/2021,209,150
9/1/2021,251,150
9/2/2021,142,150
9/3/2021,193,150
9/4/2021,138,150
9/5/2021,229,150
9/6/2021,341,150
9/7/2021,228,150
9/8/2021,138,150
9/9/2021,200,150
9/10/2021,46,150
9/11/2021,48,150
9/12/2021,588,150
9/13/2021,170,150
9/14/2021,162,150
9/15/2021,0,150
9/16/2021,0,150
9/17/2021,174,150
9/18/2021,225,150
9/19/2021,217,150
9/20/2021,0,150
9/21/2021,249,150
9/22/2021,200,150
9/23/2021,209,150
9/24/2021,108,150
9/25/2021,311,150
9/26/2021,81,150
9/27/2021,246,150
9/28/2021,185,150
9/29/2021,267,150
9/30/2021,301,150
10/1/2021,31,150
10/2/2021,109,150
10/3/2021,219,150
10/4/2021,289,150
10/5/2021,172,150
10/6/2021,272,150
10/7/2021,206,150
10/8/2021,18,150
10/9/2021,231,150
10/10/2021,138,150
10/11/2021,242,150
10/12/2021,126,150
10/13/2021,237,150
10/14/2021,209,150
10/15/2021,136,150
10/16/2021,427,150
10/17/2021,0,150
10/18/2021,116,150
10/19/2021,211,150
10/20/2021,57,150
10/21/2021,216,150
10/22/2021,285,150
10/23/2021,213,150
10/24/2021,107,150
10/25/2021,228,150
10/26/2021,151,150
10/27/2021,32,150
10/28/2021,65,150
10/29/2021,182,150
10/30/2021,226,150
10/31/2021,61,150
11/1/2021,114,150
11/2/2021,17,150
11/3/2021,146,150
11/4/2021,43,150
11/5/2021,57,150
11/6/2021,296,150
11/7/2021,253,150
11/8/2021,60,150
11/9/2021,207,150
11/10/2021,175,150
11/11/2021,47,150
11/12/2021,0,150
11/13/2021,0,150
11/14/2021,174,150
11/15/2021,29,150
11/16/2021,226,150
11/17/2021,0,150
11/18/2021,196,150
11/19/2021,139,150
11/20/2021,150,150
11/21/2021,254,150
11/22/2021,165,150
