Date,Sleep Hrs
6/14/2021,8.2
6/15/2021,8.3
6/16/2021,7.6
6/17/2021,7.5
6/18/2021,7.8
6/19/2021,8.1
6/20/2021,8.2
6/21/2021,7.2
6/22/2021,0
6/23/2021,8
6/24/2021,8.2
6/25/2021,8.9
6/26/2021,7.5
6/27/2021,6.4
6/28/2021,8.6
6/29/2021,8.4
6/30/2021,7.5
7/1/2021,7.5
7/2/2021,7.2
7/3/2021,7.4
7/4/2021,7.7
7/5/2021,7.6
7/6/2021,9
7/7/2021,8.6
7/8/2021,8
7/9/2021,8.9
7/10/2021,7.9
7/11/2021,6
7/12/2021,7.7
7/13/2021,7.5
7/14/2021,8.1
7/15/2021,8.3
7/16/2021,8.5
7/17/2021,8.1
7/18/2021,8
7/19/2021,6.9
7/20/2021,7.5
7/21/2021,8.7
7/22/2021,7.8
7/23/2021,8.2
7/24/2021,7.8
7/25/2021,0
7/26/2021,8.3
7/27/2021,7.7
7/28/2021,7.8
7/29/2021,8.5
7/30/2021,7.6
7/31/2021,5.5
8/1/2021,8.4
8/2/2021,7.3
8/3/2021,7.5
8/4/2021,7.7
8/5/2021,8.5
8/6/2021,7.1
8/7/2021,8.4
8/8/2021,7.2
8/9/2021,6.5
8/10/2021,9.5
8/11/2021,8.1
8/12/2021,7.1
8/13/2021,8
8/14/2021,7
8/15/2021,7.6
8/16/2021,8.7
8/17/2021,9
8/18/2021,7.1
8/19/2021,7.3
8/20/2021,8
8/21/2021,6.5
8/22/2021,8.3
8/23/2021,8.6
8/24/2021,7.6
8/25/2021,6.7
8/26/2021,7.9
8/27/2021,8.1
8/28/2021,8.4
8/29/2021,7.6
8/30/2021,7.6
8/31/2021,7
9/1/2021,3.2
9/2/2021,7
9/3/2021,3.9
9/4/2021,6.8
9/5/2021,7.2
9/6/2021,7.5
9/7/2021,6
9/8/2021,7.7
9/9/2021,7.1
9/10/2021,6.1
9/11/2021,7.5
9/12/2021,6.7
9/13/2021,5.8
9/14/2021,7.8
9/15/2021,7.8
9/16/2021,5.4
9/17/2021,8.9
9/18/2021,8
9/19/2021,7.4
9/20/2021,7.7
9/21/2021,7.6
9/22/2021,7.5
9/23/2021,8.1
9/24/2021,7.8
9/25/2021,7.7
9/26/2021,8.3
9/27/2021,8
9/28/2021,7.5
9/29/2021,5.7
9/30/2021,7.8
10/1/2021,7.3
10/2/2021,0
10/3/2021,7.1
10/4/2021,7.9
10/5/2021,8.1
10/6/2021,0
10/7/2021,7.9
10/8/2021,5.1
10/9/2021,6.3
10/10/2021,0
10/11/2021,8.5
10/12/2021,6.6
10/13/2021,8.1
10/14/2021,4.7
10/15/2021,8.9
10/16/2021,0
10/17/2021,6.6
10/18/2021,6.7
10/19/2021,7.8
10/20/2021,6.7
10/21/2021,7.3
10/22/2021,8.3
10/23/2021,7.7
10/24/2021,9.2
10/25/2021,7.3
10/26/2021,8.4
10/27/2021,6.8
10/28/2021,7.7
10/29/2021,8.3
10/30/2021,6.5
10/31/2021,8.2
11/1/2021,0
11/2/2021,7.1
11/3/2021,7.1
11/4/2021,7.9
11/5/2021,6.6
11/6/2021,8.2
11/7/2021,8.3
11/8/2021,7.9
11/9/2021,7.4
11/10/2021,7.2
11/11/2021,8
11/12/2021,9.3
11/13/2021,7.3
11/14/2021,6.5
11/15/2021,7.6
11/16/2021,7.9
11/17/2021,6.4
11/18/2021,7.6
11/19/2021,6.8
11/20/2021,7.2
11/21/2021,8.2
11/22/2021,9
