Date,Actual,Goal
11-Jun,23713,9000
12-Jun,12156,11000
13-Jun,18037,11240
14-Jun,21590,12600
15-Jun,14759,14400
16-Jun,10272,14470
17-Jun,11713,14050
18-Jun,8882,13590
19-Jun,18969,12650
20-Jun,13387,13290
21-Jun,11770,13310
22-Jun,5601,13160
23-Jun,11702,11650
24-Jun,3644,11660
25-Jun,11628,10860
26-Jun,24183,10940
27-Jun,5124,12940
28-Jun,13127,12160
29-Jun,7449,12260
30-Jun,12284,11780
1-Jul,11074,11830
2-Jul,25828,11760
3-Jul,12706,13170
4-Jul,14268,13130
5-Jul,3638,13250
6-Jul,12304,12290
7-Jul,18606,12300
8-Jul,2812,13570
9-Jul,8887,12500
10-Jul,14955,11780
11-Jul,14037,12100
12-Jul,11757,12490
13-Jul,8876,12420
14-Jul,15696,11720
15-Jul,13956,12120
16-Jul,7160,12490
17-Jul,23936,11960
18-Jul,11894,13160
19-Jul,9738,13040
20-Jul,19078,12380
21-Jul,6435,13050
22-Jul,19027,12390
23-Jul,11322,13060
24-Jul,20015,12890
25-Jul,18236,13610
26-Jul,3679,14540
27-Jul,7920,13460
28-Jul,17636,12360
29-Jul,4936,12890
30-Jul,22009,12100
31-Jul,7082,13090
1-Aug,12191,12490
2-Aug,12291,12430
3-Aug,15605,12410
4-Aug,18481,12730
5-Aug,4276,13880
6-Aug,10313,12920
7-Aug,26194,12400
8-Aug,15169,13780
9-Aug,30526,14050
10-Aug,17942,16050
11-Aug,11733,16430
12-Aug,9481,15960
13-Aug,12976,14670
14-Aug,9575,14340
15-Aug,15401,13390
16-Aug,24878,13600
17-Aug,19852,15600
18-Aug,12357,16450
19-Aug,14344,16040
20-Aug,25691,15700
21-Aug,14982,16700
22-Aug,15980,16530
23-Aug,16614,16420
24-Aug,15892,16440
25-Aug,9250,16390
26-Aug,22569,14970
27-Aug,5969,15730
28-Aug,29112,14760
29-Aug,10028,16200
30-Aug,4195,15590
31-Aug,3841,13320
1-Sep,19385,11430
2-Sep,10469,12230
3-Sep,10795,12060
4-Sep,20003,11810
5-Sep,2372,12630
6-Sep,16204,11610
7-Sep,11547,12070
8-Sep,8359,12020
9-Sep,9974,11290
10-Sep,14490,11030
11-Sep,18426,11380
12-Sep,3625,12790
13-Sep,15184,11880
14-Sep,4642,12210
15-Sep,7976,11460
16-Sep,18530,10770
17-Sep,4823,11550
18-Sep,18754,10880
19-Sep,7347,11670
20-Sep,19714,11240
21-Sep,11483,12090
22-Sep,19073,12030
23-Sep,10199,12740
24-Sep,9656,12490
25-Sep,12358,11930
26-Sep,13968,11980
27-Sep,20953,12380
28-Sep,21135,14100
29-Sep,21876,15510
30-Sep,4429,16790
1-Oct,24453,15560
2-Oct,19777,16450
3-Oct,16868,17120
4-Oct,20757,17100
5-Oct,27565,17470
6-Oct,22595,19470
7-Oct,12135,20100
8-Oct,23964,19310
9-Oct,13499,19770
10-Oct,6385,19150
11-Oct,13565,16600
12-Oct,22189,16000
13-Oct,22815,16620
14-Oct,14054,17860
15-Oct,43960,17480
16-Oct,1759,19480
17-Oct,18567,19480
18-Oct,19018,19390
19-Oct,9400,19320
20-Oct,18861,17340
21-Oct,12270,17500
22-Oct,3011,16980
23-Oct,9371,14190
24-Oct,21738,14190
25-Oct,21808,14950
26-Oct,2320,16330
27-Oct,14557,14930
28-Oct,19546,14860
29-Oct,22289,15330
30-Oct,2334,16720
31-Oct,13143,15290
1-Nov,8172,14860
2-Nov,9327,13530
3-Nov,11367,12690
4-Nov,8312,12430
5-Nov,13770,11590
6-Nov,15121,11810
7-Nov,10816,12480
8-Nov,21350,12320
9-Nov,10440,13230
10-Nov,9958,12960
11-Nov,1500,12360
12-Nov,1708,10190
13-Nov,17707,8500
14-Nov,15377,9420
15-Nov,8290,10620
16-Nov,4464,10390
17-Nov,18255,9210
18-Nov,10532,10120
19-Nov,11221,10210
20-Nov,10259,10420
21-Nov,13104,10410
