Week,Calorie Type,Value
6-Jun,RMR,2189
6-Jun,Active,1496
13-Jun,RMR,15423
20-Jun,RMR,15673
27-Jun,RMR,15673
4-Jul,RMR,15673
13-Jun,Active,8302
20-Jun,Active,10311
27-Jun,Active,10425
4-Jul,Active,7784
11-Jul,RMR,15673
18-Jul,RMR,15717
25-Jul,RMR,15750
1-Aug,RMR,15750
11-Jul,Active,10750
18-Jul,Active,14035
25-Jul,Active,10646
1-Aug,Active,10372
8-Aug,RMR,15750
15-Aug,RMR,15750
22-Aug,RMR,15750
29-Aug,RMR,15750
8-Aug,Active,10177
15-Aug,Active,12773
22-Aug,Active,14258
29-Aug,Active,11537
5-Sep,RMR,15750
12-Sep,RMR,15843
19-Sep,RMR,15750
26-Sep,RMR,15750
5-Sep,Active,11044
12-Sep,Active,9879
19-Sep,Active,10021
26-Sep,Active,10828
3-Oct,RMR,15750
10-Oct,RMR,15750
17-Oct,RMR,15750
24-Oct,RMR,15698
3-Oct,Active,11624
10-Oct,Active,12515
17-Oct,Active,8416
24-Oct,Active,9833
31-Oct,RMR,15750
7-Nov,RMR,15750
14-Nov,RMR,15750
21-Nov,RMR,4200
31-Oct,Active,8215
7-Nov,Active,7046
14-Nov,Active,8900
21-Nov,Active,3325
